location_id,boro,building,street,zipcode,lat,long
20593,Queens,115-09,ROCKAWAY BEACH BOULEVARD,11694,40.58,-73.836
20594,Queens,15628,NORTHERN BLVD,11354,40.764,-73.809
20595,Queens,15019,LIBERTY AVE,11433,40.698,-73.802
20596,Queens,4405,30TH AVE,11103,40.762,-73.912
20597,Queens,8268,164TH ST,11432,40.717,-73.803
20598,Queens,10002,NORTHERN BLVD,11368,40.757,-73.868
20599,Queens,13403,ROCKAWAY BOULEVARD,11420,40.675,-73.804
20600,Queens,13671,ROOSEVELT AVE,11354,40.76,-73.828
20601,Queens,11833,QUEENS BLVD,11375,40.715,-73.832
20602,Queens,13765,QUEENS BOULEVARD,11435,40.709,-73.819
20603,Queens,14101,32ND AVE,11354,40.769,-73.827
20604,Queens,8522,JAMAICA AVE,11421,40.693,-73.859
20605,Queens,4214,BELL BLVD,11361,40.762,-73.77
20606,Queens,4619,MARATHON PKWY,11362,40.767,-73.737
20607,Queens,4206,77TH ST,11373,40.743,-73.888
20608,Queens,10720,ATLANTIC AVENUE,11416,40.691,-73.838
20609,Queens,9801,JAMAICA AVENUE,11421,40.695,-73.848
20610,Queens,5916,MAIN ST,11355,40.744,-73.826
20611,Queens,11113,ROOSEVELT AVE,11368,40.752,-73.856
20612,Queens,2344,STEINWAY STREET,11105,40.77,-73.909
20613,Queens,4120,DELONG ST,11355,40.755,-73.836
20614,Queens,2170,31ST ST,11105,40.777,-73.91
20615,Queens,4018,GREENPOINT AVE,11104,40.74,-73.925
20616,Queens,9410,JAMAICA AVENUE,11421,40.694,-73.851
20617,Queens,6145,188 STREET,11365,40.739,-73.786
20618,Queens,0,JFK INTERNATIONAL AIRPOR,11430,40.648,-73.788
20619,Queens,4301,31ST AVE,11103,40.76,-73.915
20620,Queens,24-25,STEINWAY STREET,11103,40.769,-73.911
20621,Queens,14432,HILLSIDE AVENUE,11435,40.705,-73.812
20622,Queens,13659,37TH AVE,11354,40.762,-73.829
20623,Queens,17937,HILLSIDE AVE,11432,40.713,-73.783
20624,Queens,3811,DITMARS BLVD,11105,40.773,-73.907
